stid,timestamp,lat,lon,alt
CEN1,2021-06-12 18:00:00,77.181783,-61.11583,1888.8
CEN2,2022-11-28 16:00:00,77.181974,-61.115571,1892.2
CP1,2023-01-13 17:00:00,69.871905,-47.040122,1946.2
DY2,2023-01-13 17:00:00,66.482365,-46.293668,2120.4
EGP,2023-01-13 00:00:00,75.626875,-35.969325,2663.0
HUM,2023-01-13 09:00:00,78.528905,-56.844485,1969.3
JAR,2023-01-13 17:00:00,69.49211,-49.720732,907.2
JAR_O,2023-01-13 17:00:00,69.49468,-49.670705,924.0
KAN_L,2023-01-13 00:00:00,67.093729,-49.9656,631.4
KAN_M,2023-01-13 00:00:00,67.110979,-48.473568,
KAN_U,2023-01-13 00:00:00,67.000595,-47.032157,1823.0
KPC_L,2023-01-13 00:00:00,79.910799,-24.080779,360.2
KPC_Lv3,2023-01-08 16:00:00,79.913878,-24.093317,373.4
KPC_U,2023-01-13 00:00:00,79.835051,-25.162085,864.4
KPC_Uv3,2056-11-17 04:00:00,79.83492,-25.162391,865.8
LYN_L,2023-01-13 00:00:00,69.318924,-53.543779,538.8
LYN_T,2023-01-13 00:00:00,69.304271,-53.590191,940.0
MIT,2023-01-13 00:00:00,65.69195,-37.829652,425.1
NAE,2022-09-07 19:00:00,75.00244,-29.980349,2626.2
NAU,2023-01-11 15:00:00,73.840482,-49.533584,2337.1
NEM,2022-11-25 19:00:00,77.441415,-51.083777,2449.9
NSE,2023-01-13 17:00:00,66.477638,-42.493215,2383.8
NUK_K,2023-01-13 00:00:00,64.162272,-51.358678,697.4
NUK_L,2023-01-13 00:00:00,64.483927,-49.551081,497.6
NUK_U,2022-08-19 12:00:00,64.509369,-49.281127,1123.0
NUK_Uv3,2023-01-13 17:00:00,64.509284,-49.283444,1114.3
QAS_L,2023-01-13 00:00:00,61.030482,-46.849754,240.9
QAS_M,2022-12-01 00:00:00,61.109911,-46.808667,678.0
QAS_U,2023-01-13 00:00:00,61.172571,-46.822218,882.2
QAS_Uv3,2023-01-13 17:00:00,61.172625,-46.82209,886.2
Roof_GEUS,2023-01-13 17:00:00,55.68855,-12.582192,26.4
Roof_PROMICE,2023-01-09 10:00:00,55.688573,-12.582191,23.5
SCO_L,2023-01-13 00:00:00,72.232719,-26.936527,
SCO_U,2023-01-13 00:00:00,72.424926,-27.481842,
SDL,2022-10-12 15:00:00,66.000158,-44.502738,2469.8
SDM,2023-01-13 17:00:00,63.148997,-44.817416,2889.3
SWC,2023-01-13 17:00:00,69.552517,-49.375691,1120.2
SWC_O,2023-01-13 17:00:00,69.595112,-49.280171,1162.2
TAS_A,2023-01-13 00:00:00,65.816324,-38.919422,
TAS_L,2023-01-13 00:00:00,65.63932,-38.899118,232.6
THU_L,2023-01-13 00:00:00,76.399846,-68.267375,560.0
THU_L2,2023-01-13 00:00:00,76.393024,-68.265118,570.7
THU_U,2022-09-27 05:00:00,76.39303,-68.26508,571.8
THU_U2,2023-01-13 00:00:00,76.390222,-68.110398,737.8
TUN,2022-11-30 19:00:00,78.019156,-33.962452,2076.6
UPE_L,2023-01-13 00:00:00,72.89337,-54.295845,199.6
UPE_U,2023-01-13 00:00:00,72.885451,-53.613616,902.7
UWN,2023-01-12 00:00:00,61.68622,-7.197956,573.3
WEG_B,2023-01-13 16:00:00,71.141462,-51.222049,11.6
ZAK_L,2023-01-13 00:00:00,74.412643,-7.342256,124.6
ZAK_U,2022-05-31 09:00:00,74.624099,-21.374481,630.4
ZAK_Uv3,2022-12-25 15:00:00,74.643352,-21.462085,862.9
